😀 grinning face ; 1F600
😃 grinning face with big eyes ; 1F603
😄 grinning face with smiling eyes ; 1F604
😁 beaming face with smiling eyes ; 1F601
😆 grinning squinting face ; 1F606
😅 grinning face with sweat ; 1F605
🤣 rolling on the floor laughing ; 1F923
😂 face with tears of joy ; 1F602
🙂 slightly smiling face ; 1F642
🙃 upside-down face ; 1F643
😉 winking face ; 1F609
😊 smiling face with smiling eyes ; 1F60A
😇 smiling face with halo ; 1F607
🥰 smiling face with hearts ; 1F970
😍 smiling face with heart-eyes ; 1F60D
🤩 star-struck ; 1F929
😘 face blowing a kiss ; 1F618
😗 kissing face ; 1F617
☺️ smiling face ; 263A FE0F
☺ smiling face ; 263A
😚 kissing face with closed eyes ; 1F61A
😙 kissing face with smiling eyes ; 1F619
🥲 smiling face with tear ; 1F972
😋 face savoring food ; 1F60B
😛 face with tongue ; 1F61B
😜 winking face with tongue ; 1F61C
🤪 zany face ; 1F92A
😝 squinting face with tongue ; 1F61D
🤑 money-mouth face ; 1F911
🤗 hugging face ; 1F917
🤭 face with hand over mouth ; 1F92D
🤫 shushing face ; 1F92B
🤔 thinking face ; 1F914
🤐 zipper-mouth face ; 1F910
🤨 face with raised eyebrow ; 1F928
😐 neutral face ; 1F610
😑 expressionless face ; 1F611
😶 face without mouth ; 1F636
😏 smirking face ; 1F60F
😒 unamused face ; 1F612
🙄 face with rolling eyes ; 1F644
😬 grimacing face ; 1F62C
🤥 lying face ; 1F925
😌 relieved face ; 1F60C
😔 pensive face ; 1F614
😪 sleepy face ; 1F62A
🤤 drooling face ; 1F924
😴 sleeping face ; 1F634
😷 face with medical mask ; 1F637
🤒 face with thermometer ; 1F912
🤕 face with head-bandage ; 1F915
🤢 nauseated face ; 1F922
🤮 face vomiting ; 1F92E
🤧 sneezing face ; 1F927
🥵 hot face ; 1F975
🥶 cold face ; 1F976
🥴 woozy face ; 1F974
😵 dizzy face ; 1F635
🤯 exploding head ; 1F92F
🤠 cowboy hat face ; 1F920
🥳 partying face ; 1F973
🥸 disguised face ; 1F978
😎 smiling face with sunglasses ; 1F60E
🤓 nerd face ; 1F913
🧐 face with monocle ; 1F9D0
😕 confused face ; 1F615
😟 worried face ; 1F61F
🙁 slightly frowning face ; 1F641
☹️ frowning face ; 2639 FE0F
☹ frowning face ; 2639
😮 face with open mouth ; 1F62E
😯 hushed face ; 1F62F
😲 astonished face ; 1F632
😳 flushed face ; 1F633
🥺 pleading face ; 1F97A
😦 frowning face with open mouth ; 1F626
😧 anguished face ; 1F627
😨 fearful face ; 1F628
😰 anxious face with sweat ; 1F630
😥 sad but relieved face ; 1F625
😢 crying face ; 1F622
😭 loudly crying face ; 1F62D
😱 face screaming in fear ; 1F631
😖 confounded face ; 1F616
😣 persevering face ; 1F623
😞 disappointed face ; 1F61E
😓 downcast face with sweat ; 1F613
😩 weary face ; 1F629
😫 tired face ; 1F62B
🥱 yawning face ; 1F971
😤 face with steam from nose ; 1F624
😡 pouting face ; 1F621
😠 angry face ; 1F620
🤬 face with symbols on mouth ; 1F92C
😈 smiling face with horns ; 1F608
👿 angry face with horns ; 1F47F
💀 skull ; 1F480
☠️ skull and crossbones ; 2620 FE0F
☠ skull and crossbones ; 2620
💩 pile of poo ; 1F4A9
🤡 clown face ; 1F921
👹 ogre ; 1F479
👺 goblin ; 1F47A
👻 ghost ; 1F47B
👽 alien ; 1F47D
👾 alien monster ; 1F47E
🤖 robot ; 1F916
😺 grinning cat ; 1F63A
😸 grinning cat with smiling eyes ; 1F638
😹 cat with tears of joy ; 1F639
😻 smiling cat with heart-eyes ; 1F63B
😼 cat with wry smile ; 1F63C
😽 kissing cat ; 1F63D
🙀 weary cat ; 1F640
😿 crying cat ; 1F63F
😾 pouting cat ; 1F63E
🙈 see-no-evil monkey ; 1F648
🙉 hear-no-evil monkey ; 1F649
🙊 speak-no-evil monkey ; 1F64A
💋 kiss mark ; 1F48B
💌 love letter ; 1F48C
💘 heart with arrow ; 1F498
💝 heart with ribbon ; 1F49D
💖 sparkling heart ; 1F496
💗 growing heart ; 1F497
💓 beating heart ; 1F493
💞 revolving hearts ; 1F49E
💕 two hearts ; 1F495
💟 heart decoration ; 1F49F
❣️ heart exclamation ; 2763 FE0F
❣ heart exclamation ; 2763
💔 broken heart ; 1F494
❤️ red heart ; 2764 FE0F
❤ red heart ; 2764
🧡 orange heart ; 1F9E1
💛 yellow heart ; 1F49B
💚 green heart ; 1F49A
💙 blue heart ; 1F499
💜 purple heart ; 1F49C
🤎 brown heart ; 1F90E
🖤 black heart ; 1F5A4
🤍 white heart ; 1F90D
💯 hundred points ; 1F4AF
💢 anger symbol ; 1F4A2
💥 collision ; 1F4A5
💫 dizzy ; 1F4AB
💦 sweat droplets ; 1F4A6
💨 dashing away ; 1F4A8
🕳️ hole ; 1F573 FE0F
🕳 hole ; 1F573
💣 bomb ; 1F4A3
💬 speech balloon ; 1F4AC
👁️‍🗨️ eye in speech bubble ; 1F441 FE0F 200D 1F5E8 FE0F
👁‍🗨️ eye in speech bubble ; 1F441 200D 1F5E8 FE0F
👁️‍🗨 eye in speech bubble ; 1F441 FE0F 200D 1F5E8
👁‍🗨 eye in speech bubble ; 1F441 200D 1F5E8
🗨️ left speech bubble ; 1F5E8 FE0F
🗨 left speech bubble ; 1F5E8
🗯️ right anger bubble ; 1F5EF FE0F
🗯 right anger bubble ; 1F5EF
💭 thought balloon ; 1F4AD
💤 zzz ; 1F4A4
👋 waving hand ; 1F44B
👋🏻 waving hand: light skin tone ; 1F44B 1F3FB
👋🏼 waving hand: medium-light skin tone ; 1F44B 1F3FC
👋🏽 waving hand: medium skin tone ; 1F44B 1F3FD
👋🏾 waving hand: medium-dark skin tone ; 1F44B 1F3FE
👋🏿 waving hand: dark skin tone ; 1F44B 1F3FF
🤚 raised back of hand ; 1F91A
🤚🏻 raised back of hand: light skin tone ; 1F91A 1F3FB
🤚🏼 raised back of hand: medium-light skin tone ; 1F91A 1F3FC
🤚🏽 raised back of hand: medium skin tone ; 1F91A 1F3FD
🤚🏾 raised back of hand: medium-dark skin tone ; 1F91A 1F3FE
🤚🏿 raised back of hand: dark skin tone ; 1F91A 1F3FF
🖐️ hand with fingers splayed ; 1F590 FE0F
🖐 hand with fingers splayed ; 1F590
🖐🏻 hand with fingers splayed: light skin tone ; 1F590 1F3FB
🖐🏼 hand with fingers splayed: medium-light skin tone ; 1F590 1F3FC
🖐🏽 hand with fingers splayed: medium skin tone ; 1F590 1F3FD
🖐🏾 hand with fingers splayed: medium-dark skin tone ; 1F590 1F3FE
🖐🏿 hand with fingers splayed: dark skin tone ; 1F590 1F3FF
✋ raised hand ; 270B
✋🏻 raised hand: light skin tone ; 270B 1F3FB
✋🏼 raised hand: medium-light skin tone ; 270B 1F3FC
✋🏽 raised hand: medium skin tone ; 270B 1F3FD
✋🏾 raised hand: medium-dark skin tone ; 270B 1F3FE
✋🏿 raised hand: dark skin tone ; 270B 1F3FF
🖖 vulcan salute ; 1F596
🖖🏻 vulcan salute: light skin tone ; 1F596 1F3FB
🖖🏼 vulcan salute: medium-light skin tone ; 1F596 1F3FC
🖖🏽 vulcan salute: medium skin tone ; 1F596 1F3FD
🖖🏾 vulcan salute: medium-dark skin tone ; 1F596 1F3FE
🖖🏿 vulcan salute: dark skin tone ; 1F596 1F3FF
👌 OK hand ; 1F44C
👌🏻 OK hand: light skin tone ; 1F44C 1F3FB
👌🏼 OK hand: medium-light skin tone ; 1F44C 1F3FC
👌🏽 OK hand: medium skin tone ; 1F44C 1F3FD
👌🏾 OK hand: medium-dark skin tone ; 1F44C 1F3FE
👌🏿 OK hand: dark skin tone ; 1F44C 1F3FF
🤌 pinched fingers ; 1F90C
🤌🏻 pinched fingers: light skin tone ; 1F90C 1F3FB
🤌🏼 pinched fingers: medium-light skin tone ; 1F90C 1F3FC
🤌🏽 pinched fingers: medium skin tone ; 1F90C 1F3FD
🤌🏾 pinched fingers: medium-dark skin tone ; 1F90C 1F3FE
🤌🏿 pinched fingers: dark skin tone ; 1F90C 1F3FF
🤏 pinching hand ; 1F90F
🤏🏻 pinching hand: light skin tone ; 1F90F 1F3FB
🤏🏼 pinching hand: medium-light skin tone ; 1F90F 1F3FC
🤏🏽 pinching hand: medium skin tone ; 1F90F 1F3FD
🤏🏾 pinching hand: medium-dark skin tone ; 1F90F 1F3FE
🤏🏿 pinching hand: dark skin tone ; 1F90F 1F3FF
✌️ victory hand ; 270C FE0F
✌ victory hand ; 270C
✌🏻 victory hand: light skin tone ; 270C 1F3FB
✌🏼 victory hand: medium-light skin tone ; 270C 1F3FC
✌🏽 victory hand: medium skin tone ; 270C 1F3FD
✌🏾 victory hand: medium-dark skin tone ; 270C 1F3FE
✌🏿 victory hand: dark skin tone ; 270C 1F3FF
🤞 crossed fingers ; 1F91E
🤞🏻 crossed fingers: light skin tone ; 1F91E 1F3FB
🤞🏼 crossed fingers: medium-light skin tone ; 1F91E 1F3FC
🤞🏽 crossed fingers: medium skin tone ; 1F91E 1F3FD
🤞🏾 crossed fingers: medium-dark skin tone ; 1F91E 1F3FE
🤞🏿 crossed fingers: dark skin tone ; 1F91E 1F3FF
🤟 love-you gesture ; 1F91F
🤟🏻 love-you gesture: light skin tone ; 1F91F 1F3FB
🤟🏼 love-you gesture: medium-light skin tone ; 1F91F 1F3FC
🤟🏽 love-you gesture: medium skin tone ; 1F91F 1F3FD
🤟🏾 love-you gesture: medium-dark skin tone ; 1F91F 1F3FE
🤟🏿 love-you gesture: dark skin tone ; 1F91F 1F3FF
🤘 sign of the horns ; 1F918
🤘🏻 sign of the horns: light skin tone ; 1F918 1F3FB
🤘🏼 sign of the horns: medium-light skin tone ; 1F918 1F3FC
🤘🏽 sign of the horns: medium skin tone ; 1F918 1F3FD
